_id,action,createdAt,daily_additionalComment_value,daily_airDraft_timestamp,daily_airDraft_value,daily_ambientSounds_timestamp,daily_ambientSounds_value,daily_artificialLight_timestamp,daily_artificialLight_value,daily_dayLight_timestamp,daily_dayLight_value,daily_smell_timestamp,daily_smell_value,daily_studentsAdherence_timestamp,daily_studentsAdherence_value,daily_studentsFocused_timestamp,daily_studentsFocused_value,daily_studentsIrritated_timestamp,daily_studentsIrritated_value,daily_studentsMotivated_timestamp,daily_studentsMotivated_value,device,finishedAt,heartbeat,hourly_airQuality_timestamp,hourly_airQuality_value,hourly_humidity_timestamp,hourly_humidity_value,hourly_indoorClimate_timestamp,hourly_indoorClimate_value,hourly_temperature_timestamp,hourly_temperature_value,participant,startedAt,type,updatedAt
6322b3eada207aecda9c8288,manual,2022-09-15T05:11:06.479Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T05:11:05.087Z,6322b3eada207aecda9c8287,2022-09-15T05:11:01.619Z,1,2022-09-15T05:10:55.692Z,2,2022-09-15T05:10:08.791Z,1,2022-09-15T05:10:13.502Z,3,6318dea612223a195314b602,2022-09-15T05:09:42.176Z,hourly,2022-09-15T05:11:06.479Z
6322b452da207aecda9c828b,manual,2022-09-15T05:12:50.058Z,,,,,,,,,,,,,,,,,,,,63186cd4a505031fc7fc2544,2022-09-15T05:12:48.004Z,6322b452da207aecda9c828a,2022-09-15T05:12:46.842Z,4,2022-09-15T05:12:43.440Z,4,2022-09-15T05:12:33.427Z,3,2022-09-15T05:12:36.308Z,3,6318dea712223a195314b617,2022-09-15T05:12:20.815Z,hourly,2022-09-15T05:12:50.058Z
6322b81cda207aecda9c828f,manual,2022-09-15T05:29:00.808Z,,,,,,,,,,,,,,,,,,,,63186aeda505031fc7fc253a,2022-09-15T05:28:59.427Z,6322b81cda207aecda9c828e,2022-09-15T05:28:58.163Z,2,2022-09-15T05:28:52.455Z,3,2022-09-15T05:28:45.493Z,3,2022-09-15T05:28:48.654Z,4,6318dea612223a195314b5f5,2022-09-15T05:28:31.027Z,hourly,2022-09-15T05:29:00.808Z
6322b880da207aecda9c8292,manual,2022-09-15T05:30:40.798Z,,,,,,,,,,,,,,,,,,,,63186f7da505031fc7fc254e,2022-09-15T05:30:39.493Z,6322b880da207aecda9c8291,2022-09-15T05:30:37.690Z,4,2022-09-15T05:30:33.991Z,4,2022-09-15T05:30:20.479Z,2,2022-09-15T05:30:29.008Z,4,6318dea612223a195314b601,2022-09-15T05:29:03.384Z,hourly,2022-09-15T05:30:40.798Z
6322b8a5da207aecda9c8295,manual,2022-09-15T05:31:17.489Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T05:31:16.110Z,6322b8a5da207aecda9c8294,2022-09-15T05:31:14.265Z,2,2022-09-15T05:31:05.268Z,1,2022-09-15T05:30:58.313Z,3,2022-09-15T05:31:00.544Z,5,6318dea712223a195314b618,2022-09-15T05:30:38.306Z,hourly,2022-09-15T05:31:17.489Z
6322b991da207aecda9c8298,manual,2022-09-15T05:35:13.879Z,,,,,,,,,,,,,,,,,,,,63186295a505031fc7fc251f,2022-09-15T05:35:13.623Z,6322b991da207aecda9c8297,2022-09-15T05:35:12.137Z,5,2022-09-15T05:35:07.170Z,3,2022-09-15T05:35:01.538Z,5,2022-09-15T05:35:03.750Z,5,6318dea712223a195314b612,2022-09-15T05:34:43.389Z,hourly,2022-09-15T05:35:13.879Z
6322c73cda207aecda9c82b8,manual,2022-09-15T06:33:32.555Z,,,,,,,,,,,,,,,,,,,,631867fca505031fc7fc252e,2022-09-15T06:33:32.122Z,6322c73cda207aecda9c82b7,2022-09-15T06:33:30.206Z,2,2022-09-15T06:33:28.375Z,2,2022-09-15T06:33:16.719Z,4,2022-09-15T06:33:25.759Z,3,6318dea612223a195314b5f7,2022-09-15T06:32:52.667Z,hourly,2022-09-15T06:33:32.555Z
6322ca1fda207aecda9c82bb,manual,2022-09-15T06:45:51.811Z,,,,,,,,,,,,,,,,,,,,631867c0a505031fc7fc252c,2022-09-15T06:45:50.550Z,6322ca1fda207aecda9c82ba,2022-09-15T06:45:49.758Z,3,2022-09-15T06:45:48.387Z,3,2022-09-15T06:45:46.107Z,4,2022-09-15T06:45:46.401Z,4,6318dea612223a195314b5f9,2022-09-15T06:45:29.424Z,hourly,2022-09-15T06:45:51.811Z
6322ca3fda207aecda9c82bd,manual,2022-09-15T06:46:23.662Z,,,,,,,,,,,,,,,,,,,,631868a2a505031fc7fc2530,2022-09-15T06:46:22.999Z,6322ca3fda207aecda9c82bc,2022-09-15T06:46:20.173Z,3,2022-09-15T06:46:17.168Z,2,2022-09-15T06:46:06.223Z,3,2022-09-15T06:46:14.096Z,2,6318dea612223a195314b601,2022-09-15T06:45:56.853Z,hourly,2022-09-15T06:46:23.662Z
6322cadcda207aecda9c82d8,manual,2022-09-15T06:49:00.123Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T06:48:58.602Z,6322cadcda207aecda9c82d7,2022-09-15T06:48:56.952Z,3,2022-09-15T06:48:54.739Z,1,2022-09-15T06:48:47.349Z,3,2022-09-15T06:48:50.888Z,4,6318dea712223a195314b618,2022-09-15T06:48:37.795Z,hourly,2022-09-15T06:49:00.123Z
